Date,Time,HeartRate
2022-12-20,00:06:32,96
2022-12-20,00:06:33,96
2022-12-20,00:06:34,95
2022-12-20,00:06:35,95
2022-12-20,00:06:36,93
2022-12-20,00:06:37,93
2022-12-20,00:06:39,90
2022-12-20,00:06:39,90
2022-12-20,00:06:40,89
2022-12-20,00:06:45,89
2022-12-20,00:06:45,89
2022-12-20,00:06:45,87
2022-12-20,00:06:46,87
2022-12-20,00:06:46,86
2022-12-20,00:06:46,86
2022-12-20,00:06:47,86
2022-12-20,00:06:48,87
2022-12-20,00:06:49,88
2022-12-20,00:06:50,89
2022-12-20,00:06:51,91
2022-12-20,00:06:54,93
2022-12-20,00:06:54,93
2022-12-20,00:06:54,94
2022-12-20,00:06:56,94
2022-12-20,00:06:57,94
2022-12-20,00:06:58,94
2022-12-20,00:06:58,94
2022-12-20,00:06:59,94
2022-12-20,00:07:00,94
2022-12-20,00:07:01,94
2022-12-20,00:07:02,94
2022-12-20,00:07:03,94
2022-12-20,00:07:06,95
2022-12-20,00:07:06,95
2022-12-20,00:07:07,95
2022-12-20,00:07:08,95
2022-12-20,00:07:09,95
2022-12-20,00:07:10,95
2022-12-20,00:07:12,94
2022-12-20,00:07:12,93
2022-12-20,00:07:13,93
2022-12-20,00:07:13,93
2022-12-20,00:07:14,93
2022-12-20,00:07:19,94
2022-12-20,00:07:19,94
2022-12-20,00:07:19,95
2022-12-20,00:07:21,96
2022-12-20,00:07:21,96
2022-12-20,00:07:21,97
2022-12-20,00:07:23,97
2022-12-20,00:07:23,97
2022-12-20,00:07:23,95
2022-12-20,00:07:24,95
2022-12-20,00:07:25,94
2022-12-20,00:07:26,94
2022-12-20,00:07:27,93
2022-12-20,00:07:30,93
2022-12-20,00:07:30,94
2022-12-20,00:07:30,95
2022-12-20,00:07:31,95
2022-12-20,00:07:33,96
2022-12-20,00:07:36,97
2022-12-20,00:07:36,97
2022-12-20,00:07:36,98
2022-12-20,00:07:37,97
2022-12-20,00:07:37,97
2022-12-20,00:07:38,96
2022-12-20,00:07:40,96
2022-12-20,00:07:40,96
2022-12-20,00:07:42,96
2022-12-20,00:07:42,96
2022-12-20,00:07:43,96
2022-12-20,00:07:45,96
2022-12-20,00:07:46,97
2022-12-20,00:07:47,97
2022-12-20,00:07:48,97
2022-12-20,00:07:49,97
2022-12-20,00:07:50,97
2022-12-20,00:07:51,96
2022-12-20,00:07:52,96
2022-12-20,00:07:52,95
2022-12-20,00:07:53,95
2022-12-20,00:07:54,95
2022-12-20,00:07:55,96
2022-12-20,00:07:56,96
2022-12-20,00:07:57,97
2022-12-20,00:07:58,97
2022-12-20,00:07:59,97
2022-12-20,00:08:01,96
2022-12-20,00:08:01,95
2022-12-20,00:08:03,95
2022-12-20,00:08:04,95
2022-12-20,00:08:05,94
2022-12-20,00:08:05,94
2022-12-20,00:08:06,94
2022-12-20,00:08:07,95
2022-12-20,00:08:08,96
2022-12-20,00:08:10,96
2022-12-20,00:08:10,97
2022-12-20,00:08:12,97
2022-12-20,00:08:13,98
2022-12-20,00:08:13,98
2022-12-20,00:08:15,98
2022-12-20,00:08:16,97
2022-12-20,00:08:16,97
2022-12-20,00:08:17,94
2022-12-20,00:08:18,92
2022-12-20,00:08:21,91
2022-12-20,00:08:21,91
2022-12-20,00:08:21,92
2022-12-20,00:08:22,92
2022-12-20,00:08:24,93
2022-12-20,00:08:24,93
2022-12-20,00:08:25,94
2022-12-20,00:08:26,94
2022-12-20,00:08:27,94
2022-12-20,00:08:28,94
2022-12-20,00:08:30,95
2022-12-20,00:08:30,95
2022-12-20,00:08:31,95
2022-12-20,00:08:33,94
2022-12-20,00:08:33,94
2022-12-20,00:08:35,93
2022-12-20,00:08:36,93
2022-12-20,00:08:36,93
2022-12-20,00:08:37,93
2022-12-20,00:08:39,93
2022-12-20,00:08:40,93
2022-12-20,00:08:40,94
2022-12-20,00:08:41,94
2022-12-20,00:08:42,95
2022-12-20,00:08:43,95
2022-12-20,00:08:44,96
2022-12-20,00:08:45,96
2022-12-20,00:08:47,96
2022-12-20,00:08:47,95
2022-12-20,00:08:48,94
2022-12-20,00:08:49,94
2022-12-20,00:08:51,93
2022-12-20,00:08:51,93
2022-12-20,00:08:52,93
2022-12-20,00:08:53,93
2022-12-20,00:08:54,94
2022-12-20,00:08:55,95
2022-12-20,00:08:58,95
2022-12-20,00:08:58,95
2022-12-20,00:08:58,95
2022-12-20,00:09:00,96
2022-12-20,00:09:01,97
2022-12-20,00:09:01,97
2022-12-20,00:09:02,96
2022-12-20,00:09:03,96
2022-12-20,00:09:04,96
2022-12-20,00:09:05,95
2022-12-20,00:09:07,95
2022-12-20,00:09:07,95
2022-12-20,00:09:08,95
2022-12-20,00:09:09,96
2022-12-20,00:09:10,96
2022-12-20,00:09:12,96
2022-12-20,00:09:12,97
2022-12-20,00:09:13,97
2022-12-20,00:09:15,97
2022-12-20,00:09:15,98
2022-12-20,00:09:16,98
