Timestamp,Predicted Workload
1900-01-01 00:24:10,10.72904
1900-01-01 00:24:15,10.716579
1900-01-01 00:24:20,10.705206
1900-01-01 00:24:25,10.7174225
1900-01-01 00:24:30,10.73184
1900-01-01 00:24:35,10.729307
1900-01-01 00:24:40,10.715884
1900-01-01 00:24:45,10.692078
1900-01-01 00:24:50,10.690819
1900-01-01 00:24:55,10.70488
1900-01-01 00:25:00,10.711231
1900-01-01 00:25:05,10.70552
1900-01-01 00:25:10,10.709215
1900-01-01 00:25:15,10.71811
1900-01-01 00:25:20,10.720295
1900-01-01 00:25:25,10.721685
1900-01-01 00:25:30,10.720415
1900-01-01 00:25:35,10.717237
1900-01-01 00:25:40,10.705265
