0,1,2
2022-12-09,08:09:27.204000,94
2022-12-09,08:09:29.215000,94
2022-12-09,08:09:29.215000,94
2022-12-09,08:09:30.222000,95
2022-12-09,08:09:31.127000,95
2022-12-09,08:09:32.131000,95
2022-12-09,08:09:33.137000,96
2022-12-09,08:09:34.144000,97
2022-12-09,08:09:35.148000,97
2022-12-09,08:09:36.153000,97
2022-12-09,08:09:37.158000,96
2022-12-09,08:09:38.063000,95
2022-12-09,08:09:39.068000,95
2022-12-09,08:09:40.073000,94
2022-12-09,08:09:41.078000,94
2022-12-09,08:09:42.587000,94
2022-12-09,08:09:43.090000,94
2022-12-09,08:09:44.097000,94
2022-12-09,08:09:45,94
2022-12-09,08:09:46.004000,94
2022-12-09,08:09:47.009000,95
2022-12-09,08:09:48.015000,95
2022-12-09,08:09:49.523000,95
2022-12-09,08:09:50.025000,95
2022-12-09,08:09:50.930000,95
2022-12-09,08:09:51.936000,96
2022-12-09,08:09:52.941000,97
2022-12-09,08:09:53.948000,97
2022-12-09,08:09:54.954000,97
2022-12-09,08:09:55.960000,96
2022-12-09,08:09:56.967000,96
2022-12-09,08:09:57.872000,96
2022-12-09,08:09:58.878000,96
2022-12-09,08:10:00.389000,96
2022-12-09,08:10:01.396000,97
2022-12-09,08:10:02.903000,97
2022-12-09,08:10:03.808000,97
2022-12-09,08:10:04.310000,97
2022-12-09,08:10:05.315000,97
2022-12-09,08:10:06.318000,96
2022-12-09,08:10:07.324000,96
2022-12-09,08:10:08.330000,95
2022-12-09,08:10:09.337000,95
2022-12-09,08:10:10.746000,96
2022-12-09,08:10:11.753000,96
2022-12-09,08:10:12.757000,96
2022-12-09,08:10:13.260000,97
2022-12-09,08:10:14.266000,97
2022-12-09,08:10:15.273000,98
2022-12-09,08:10:16.179000,99
2022-12-09,08:10:17.185000,99
2022-12-09,08:10:18.192000,98
2022-12-09,08:10:20.205000,97
2022-12-09,08:10:20.709000,97
2022-12-09,08:10:21.212000,96
2022-12-09,08:10:22.118000,96
2022-12-09,08:10:23.124000,95
2022-12-09,08:10:24.129000,95
2022-12-09,08:10:25.636000,95
2022-12-09,08:10:26.140000,94
2022-12-09,08:10:27.651000,94
2022-12-09,08:10:28.556000,94
2022-12-09,08:10:29.563000,93
2022-12-09,08:10:30.066000,92
2022-12-09,08:10:31.071000,91
2022-12-09,08:10:32.076000,91
2022-12-09,08:10:33.080000,90
2022-12-09,08:10:34.085000,91
2022-12-09,08:10:34.991000,92
2022-12-09,08:10:36.501000,93
2022-12-09,08:10:37.004000,94
2022-12-09,08:10:38.513000,94
2022-12-09,08:10:39.016000,94
2022-12-09,08:10:40.021000,94
2022-12-09,08:10:40.926000,95
2022-12-09,08:10:41.932000,95
2022-12-09,08:10:42.938000,95
2022-12-09,08:10:43.943000,95
2022-12-09,08:10:45.453000,95
